,video_id,comment,comment_cleaned
38,WhiBpmH1mE4,"Ferrets have one of the closest immune type to humans.
UK has roughly 500000 (half million) Ferrets.
Ferrets spread influenza to humans.
Not a single case of 1 Ferret contracting, spreading or dying of Sars Cov2.
Which animal has been chosen to test model CV19 vaccines on?

The Ferret.","ferrets have one of the closest immune type to humans.
uk has roughly 500000 (half million) ferrets.
ferrets spread influenza to humans.
not a single case of 1 ferret contracting, spreading or dying of sars cov2.
which animal has been chosen to test model cv19 vaccines on?

the ferret."
40,LfmhYVCCGhc,No recourse with vaxx companies should tell us something,no recourse with vaxx companies should tell us someth
41,LfmhYVCCGhc,"Joe Rogan is right ! 
Imagine defending Phizer in 2024…","joe rogan is right ! 
imagine defending phizer in 2024…"
43,LfmhYVCCGhc,If you dont see theres a problem at this point you never will,if you dont see theres a problem at this point you never wil
44,LfmhYVCCGhc,The fact that Joe Rogan is correct.  The ignorance of people that don’t do their own research 🤦‍♂️,the fact that joe rogan is correct.  the ignorance of people that don’t do their own research 🤦‍♂️
45,LfmhYVCCGhc,There has been a sharp rise in excess deaths worldwide since about mid 2021. Just baffling what could be causing this. Any ideas anybody ??,there has been a sharp rise in excess deaths worldwide since about mid 2021. just baffling what could be causing this. any ideas anybody ??
47,LfmhYVCCGhc,In western Australian the death rate went up dramatically after the vaccine rollout. That was before covid reached that state.,in western australian the death rate went up dramatically after the vaccine rollout. that was before covid reached that state.
48,LfmhYVCCGhc,"If you completely ignore VAERS and every other database worldwide and live in an alternative reality, then yeah, these covid injections are the best and safest vaccinations ever.","if you completely ignore vaers and every other database worldwide and live in an alternative reality, then yeah, these covid injections are the best and safest vaccinations ever."
50,oFDOQ9Pn-XM,Dude wants to join the X-men but he’s gunna be the guy that just turns into water.,dude wants to join the x-men but he’s gunna be the guy that just turns into water.
51,oFDOQ9Pn-XM,"""And showed no side effects.""
Yet.","""and showed no side effects.""
yet."
52,oFDOQ9Pn-XM,You mean he didn’t get the autism and his heart hadn’t exploded?,you mean he didn’t get the autism and his heart hadn’t exploded?
53,oFDOQ9Pn-XM,"“He administered the shots himself” 😂

And that’s how you know it’s all bullshit","“he administered the shots himself” 😂

and that’s how you know it’s all bullshit"
54,oFDOQ9Pn-XM,Three weeks after my 5th jab I had a stroke. I then learned of five others in my area who had strokes at exactly the same time - coincidence ? I don't think so - those vaccinations were rushed through and we have no idea exactly what they contained.,three weeks after my 5th jab i had a stroke. i then learned of five others in my area who had strokes at exactly the same time - coincidence ? i don't think so - those vaccinations were rushed through and we have no idea exactly what they contained.
55,oFDOQ9Pn-XM,I have never heard such rubbish?👨🏾‍🎓🙄,i have never heard such rubbish?👨🏾‍🎓🙄
56,oFDOQ9Pn-XM,No Side Effects? YEAH That's one of the symptoms 😂,no side effects? yeah that's one of the symptoms 😂
57,oFDOQ9Pn-XM,...and we know this is true because the man said it is. FACTS! 🤣🤣🤣,...and we know this is true because the man said it is. facts! 🤣🤣🤣
58,oFDOQ9Pn-XM,Mental illness is a terrible thing.,mental illness is a terrible thing.
59,oFDOQ9Pn-XM,I’ve had none and I’m fine… what a scam 😂,i’ve had none and i’m fine… what a scam 😂
60,-Ea3UwYZnrA,Biggest psyops ever perpetrated on human mankind. Great work john.,biggest psyops ever perpetrated on human mankind. great work john.
61,-Ea3UwYZnrA,"I'm in tears here after listening to Dr John Campbell.He is the first person to explain what has happened to me after having the COVID vaccine. I spent all my savings trying to find answers for severe burning and pins and needles and muscle weakness straight after my 2 nd vaccine. (No NHS drs available at that time) Diagnosed small fibre neuropathy. Not one doctor admitted what I was saying all along, that the vaccine had caused this!!","i'm in tears here after listening to dr john campbell.he is the first person to explain what has happened to me after having the covid vaccine. i spent all my savings trying to find answers for severe burning and pins and needles and muscle weakness straight after my 2 nd vaccine. (no nhs drs available at that time) diagnosed small fibre neuropathy. not one doctor admitted what i was saying all along, that the vaccine had caused this!!"
62,-Ea3UwYZnrA,"i'll never forget how people treated me when i told them to avoid the vaccine.. i was already disollusioned with the world before 2020, and what followed just confirmed my disdain. glad theres still some people out there taking it seriously and talking about it","i'll never forget how people treated me when i told them to avoid the vaccine.. i was already disollusioned with the world before 2020, and what followed just confirmed my disdain. glad theres still some people out there taking it seriously and talking about it"
64,-Ea3UwYZnrA,"I’m a retired veterinarian. 

I could see from the start that mRNA had the potential to cause constant antigen production. 

Reverse transcription was taught when I went to vet school, 40 years ago.","i’m a retired veterinarian. 

i could see from the start that mrna had the potential to cause constant antigen production. 

reverse transcription was taught when i went to vet school, 40 years ago."
65,-Ea3UwYZnrA,"Prof. Robert Clancy is an international treasure. Humility, humor, compassion, curiosity and of course great knowledge and skill. In a time of confusion, ignorance and pettiness it is a relief to hear him talk, giving hope to many people suffering with debilitating illness. Long may he live.","prof. robert clancy is an international treasure. humility, humor, compassion, curiosity and of course great knowledge and skill. in a time of confusion, ignorance and pettiness it is a relief to hear him talk, giving hope to many people suffering with debilitating illness. long may he live."
66,-Ea3UwYZnrA,"You're brave to discuss possible side effects from the 'Jab', John. I'm downloading this video just in case is dissappears. Thank you, Dr. John.","you're brave to discuss possible side effects from the 'jab', john. i'm downloading this video just in case is dissappears. thank you, dr. john."
67,-Ea3UwYZnrA,Dr Campbell is a man of honor. He did not sell out to big pharma like so many other doctors and politicians. I wish you the best of everything. Thank you.,dr campbell is a man of honor. he did not sell out to big pharma like so many other doctors and politicians. i wish you the best of everything. thank you.
69,-Ea3UwYZnrA,Finally a brilliant review by Professor Clancy based on REAL research! All Doctors need to hear this to help their patients!,finally a brilliant review by professor clancy based on real research! all doctors need to hear this to help their patients!
70,im3otpqYAiQ,Glad I made it through the gaslighting.,glad i made it through the gaslighting.
71,im3otpqYAiQ,“They didn’t find anything else that was alarming….” This is actually comical. Aren’t these enough??,“they didn’t find anything else that was alarming….” this is actually comical. aren’t these enough??
72,im3otpqYAiQ,The dude makes it sound like Myocarditis and pericarditis are just minor health conditions. What a joke,the dude makes it sound like myocarditis and pericarditis are just minor health conditions. what a jok
73,im3otpqYAiQ,"If you have to be persuaded, reminded, pressured, lied to, incentivized, coerced, bullied, socially shamed, guilt-tripped, threatened, punished and criminalized … If all of this is considered necessary to gain your compliance — you can be absolutely certain that what is being promoted is not in your best interest.” – Ian Watson","if you have to be persuaded, reminded, pressured, lied to, incentivized, coerced, bullied, socially shamed, guilt-tripped, threatened, punished and criminalized … if all of this is considered necessary to gain your compliance — you can be absolutely certain that what is being promoted is not in your best interest.” – ian watson"
74,im3otpqYAiQ,Didn't they destroy doctors careers who said this 2yr ago .. ?,didn't they destroy doctors careers who said this 2yr ago .. ?
75,im3otpqYAiQ,The Truth must be revealed……. Or we’re doomed to repeat it 😔,the truth must be revealed……. or we’re doomed to repeat it 😔
76,im3otpqYAiQ,Take the number of instances. Multiply by 75000,take the number of instances. multiply by 75000
77,im3otpqYAiQ,Its a          B I O W E A P O N,its a          b i o w e a p o n
78,im3otpqYAiQ,"Slightly is the new buzzword.

You have a slightly higher chance of dying if you enter a polar bear enclosure without protection.

Slightly higher chance.","slightly is the new buzzword.

you have a slightly higher chance of dying if you enter a polar bear enclosure without protection.

slightly higher chance."
79,im3otpqYAiQ,No one regrets not getting it,no one regrets not getting it
80,geXKovieb1E,It’s crazy how the majority of the population don’t have an inner monologue and don’t question anything.,it’s crazy how the majority of the population don’t have an inner monologue and don’t question anything.
82,geXKovieb1E,"i did not take vaccine,.. i'm still alive,....!!","i did not take vaccine,.. i'm still alive,....!!"
83,geXKovieb1E,I never took the Jab. Nor did my 85 year old mother. We are both healthier than most people that took the Jab. I guess you can say we are PURE BLOODS.,i never took the jab. nor did my 85 year old mother. we are both healthier than most people that took the jab. i guess you can say we are pure bloods.
84,geXKovieb1E,The risks are NOT small. Bloody lies.,the risks are not small. bloody lies.
85,geXKovieb1E,When will media outlets like this grow a conscience ?,when will media outlets like this grow a conscience ?
86,geXKovieb1E,"If you have to be persuaded, reminded, pressured, lied to, incentivized, coerced, bullied, socially shamed, guilt-tripped, threatened, punished and criminalized … If all of this is considered necessary to gain your compliance — you can be absolutely certain that what is being promoted is not in your best interest.” – Ian Watson","if you have to be persuaded, reminded, pressured, lied to, incentivized, coerced, bullied, socially shamed, guilt-tripped, threatened, punished and criminalized … if all of this is considered necessary to gain your compliance — you can be absolutely certain that what is being promoted is not in your best interest.” – ian watson"
87,geXKovieb1E,It was a rushed vaccine and not tested enough.,it was a rushed vaccine and not tested enough.
88,geXKovieb1E,Yeah benefits...seeing that every day as more and more people are reporting side effects or dying...at least this topic is now open for discussion...,yeah benefits...seeing that every day as more and more people are reporting side effects or dying...at least this topic is now open for discussion...
89,geXKovieb1E,"Too late, harm has been done.","too late, harm has been done."
91,m2skKkRwYj8,"Let me be unequivocal, Sunak is knowingly lying!","let me be unequivocal, sunak is knowingly lying!"
92,m2skKkRwYj8,Power to Andrew Bridgen putting his 'all' on the line in the name of truth and transparency.,power to andrew bridgen putting his 'all' on the line in the name of truth and transparency.
93,m2skKkRwYj8,Disgusting to hear the demented cheers,disgusting to hear the demented ch
94,m2skKkRwYj8,"JOHN CAMBELL , ANDREW BRIDGEN , along with several more , need to be applauded for telling the truth especially it’s in government stats .","john cambell , andrew bridgen , along with several more , need to be applauded for telling the truth especially it’s in government stats ."
95,m2skKkRwYj8,"After everything that’s happened in the last 3 years, anyone dumb enough to continue believing these criminals deserves the outcome","after everything that’s happened in the last 3 years, anyone dumb enough to continue believing these criminals deserves the outcom"
96,m2skKkRwYj8,"They are so safe 'YOU' had to be threatened to take them, do you remember? No holidays, no job, no seeing loved ones in hospital, no hospital treatment.....do you  remember.???","they are so safe 'you' had to be threatened to take them, do you remember? no holidays, no job, no seeing loved ones in hospital, no hospital treatment.....do you  remember.???"
98,m2skKkRwYj8,OMG I am jumping up and down in absolute horror here!!! WHAT a totally appalling state of affairs when our (OUR) MPs have the nerve to mock in this way... Sunak you are a disgrace.,omg i am jumping up and down in absolute horror here!!! what a totally appalling state of affairs when our (our) mps have the nerve to mock in this way... sunak you are a disgrace.
99,m2skKkRwYj8,"Jeez, this guy Sunak, should be charged with corporate manslaughter.","jeez, this guy sunak, should be charged with corporate manslaughter."
100,YVFAvoeFahI,Those who questioned and didn't get jabbed will never get an apology. But they have peace of mind knowing that they haven't got poison locked within their system.,those who questioned and didn't get jabbed will never get an apology. but they have peace of mind knowing that they haven't got poison locked within their system.
101,YVFAvoeFahI,I agree with him😎People should be the only ones Who Control their own BODY 💯,i agree with him😎people should be the only ones who control their own body 💯
102,YVFAvoeFahI,APOLOGY??? I want criminal charges filed.,apology??? i want criminal charges filed.
103,YVFAvoeFahI,"The fact that the drugs quite obviously were not subject to an adequate peer reviewed clinical trial process along with that billions of people were denied informed consent is all kinds of illegal.

The definition of ""conspiracy"" simply means two or more people secretly agreed to carry out an illegal act.

Therefore, the entire thing was absolutely a ""conspiracy""... less the theory part.","the fact that the drugs quite obviously were not subject to an adequate peer reviewed clinical trial process along with that billions of people were denied informed consent is all kinds of illegal.

the definition of ""conspiracy"" simply means two or more people secretly agreed to carry out an illegal act.

therefore, the entire thing was absolutely a ""conspiracy""... less the theory part."
104,YVFAvoeFahI,Not rare. Quit saying rare.,not rare. quit saying rare.
105,YVFAvoeFahI,I remember when “natural immunity” wasn’t a thing and if you told anyone they looked at you so strange. I’m glad of my decision now seeing the massive amount of injuries. And as I expected..the injured don’t have a voice. 🤷🏼‍♂️,i remember when “natural immunity” wasn’t a thing and if you told anyone they looked at you so strange. i’m glad of my decision now seeing the massive amount of injuries. and as i expected..the injured don’t have a voice. 🤷🏼‍♂️
106,YVFAvoeFahI,"Stuff your apologies, and save it for the people who died!!!! The next life is not going to be bought or anything else that is what you are doing to get through this world 😉","stuff your apologies, and save it for the people who died!!!! the next life is not going to be bought or anything else that is what you are doing to get through this world 😉"
108,YVFAvoeFahI,I've had covid 4x and it gets easier to fight every time. The first time was the worst but it was just a bad headache and a fatigued body. This was a pandemic of stupidity.,i've had covid 4x and it gets easier to fight every time. the first time was the worst but it was just a bad headache and a fatigued body. this was a pandemic of stupidity.
109,YVFAvoeFahI,Apologies not accepted,apologies not accept
111,IMRTSwb3hCs,What about those giant rubbery clots found in cadavers?  Could you please do a report on that?  They've never been seen by embalmers before 2021.,what about those giant rubbery clots found in cadavers?  could you please do a report on that?  they've never been seen by embalmers before 2021.
112,IMRTSwb3hCs,"Just watch Dr.John Campbell , he’s ahead of it all","just watch dr.john campbell , he’s ahead of it al"
113,IMRTSwb3hCs,Chris it’s not extremely rare. And you pushed that shot to no end!,chris it’s not extremely rare. and you pushed that shot to no end!
114,IMRTSwb3hCs,17 mill around the world rare ..... 🙄 Thats not called rare thats called crimes against humanity,17 mill around the world rare ..... 🙄 thats not called rare thats called crimes against human
115,IMRTSwb3hCs,I’ve met so many jab injured here in Australia. I don’t think it’s “rare” at all. Many years on they are still suffering.,i’ve met so many jab injured here in australia. i don’t think it’s “rare” at all. many years on they are still suffering.
116,IMRTSwb3hCs,My favorite part about being a conspiracy theorist is not getting myocarditis.,my favorite part about being a conspiracy theorist is not getting myocarditis.
117,IMRTSwb3hCs,IT'S NOT RARE,it's not rar
118,IMRTSwb3hCs,And yet it's still being administratored and no one is being held accountable.,and yet it's still being administratored and no one is being held accountable.
119,IMRTSwb3hCs,Died suddenly,died suddenli
120,mkZ1MabMEZw,This must have taken forever to grow that beard and film.,this must have taken forever to grow that beard and film.
121,mkZ1MabMEZw,"Pfizer before covid: $60 billion in profit
Pfizer after covid: $122 billion in profit","pfizer before covid: $60 billion in profit
pfizer after covid: $122 billion in profit"
122,mkZ1MabMEZw,"Sure wish doctors were this passionate about getting people off junk food, alcohol, and cigarettes.","sure wish doctors were this passionate about getting people off junk food, alcohol, and cigarettes."
123,mkZ1MabMEZw,Favorite VAERS factoid is how one entry says a vaccine turned the recipient into the incredible hulk.,favorite vaers factoid is how one entry says a vaccine turned the recipient into the incredible hulk.
124,mkZ1MabMEZw,I hope this is archived for the future.,i hope this is archived for the future.
126,mkZ1MabMEZw,I'M NOT READY FOR THE NEW WIGS😭😭,i'm not ready for the new wigs😭😭
127,mkZ1MabMEZw,Hopefully this blue suit has had his boosters.,hopefully this blue suit has had his boosters.
128,mkZ1MabMEZw,Unvaxed for life,unvaxed for lif
129,mkZ1MabMEZw,"""So you're saying popsicles kill people?""
""Can I have one?""

Mood","""so you're saying popsicles kill people?""
""can i have one?""

mood"
132,sidjKoHS6NE,"This whole 3 years of ""covid"" has been nothing short of criminal. Thank you Mr. Campbell....","this whole 3 years of ""covid"" has been nothing short of criminal. thank you mr. campbell...."
133,sidjKoHS6NE,Watching Dr Campbells journey of realizing he's living in a corrupt system of lies and oppression has been magnificent.,watching dr campbells journey of realizing he's living in a corrupt system of lies and oppression has been magnificent.
135,sidjKoHS6NE,Your utter contempt for our criminal authorities is beautifully expressed at 3.35. God bless you sir!,your utter contempt for our criminal authorities is beautifully expressed at 3.35. god bless you sir!
136,sidjKoHS6NE,"I have serious concerns about the health industry. They fired all those that refused to push medication they had no idea were safe, and all those that did, are still there.","i have serious concerns about the health industry. they fired all those that refused to push medication they had no idea were safe, and all those that did, are still there."
137,sidjKoHS6NE,absolutely criminal. thank you so much Dr. Campbell for your continued bravery in bringing all these important issues to light.,absolutely criminal. thank you so much dr. campbell for your continued bravery in bringing all these important issues to light.
139,sidjKoHS6NE,"The fact that my husband and myself who are in our early 50s, have made a pact to NOT GO TO THE HOSPITAL or any HEALTHCARE facility no matter the issue; this is where we are at no trust.","the fact that my husband and myself who are in our early 50s, have made a pact to not go to the hospital or any healthcare facility no matter the issue; this is where we are at no trust."
140,xbYYNpM1AgQ,ഇതിനെക്കുറിച്ച് മനസ്സിൽ ഒത്തിരി സംശയങ്ങൾ ഉണ്ടായിരുന്നു ഇപ്പോൾ എല്ലാം ക്ലിയർ ആയി വളരെയധികം നന്ദി 🙏🏻🙏🏻🙏🏻❤️❤️❤️,ഇതിനെക്കുറിച്ച് മനസ്സിൽ ഒത്തിരി സംശയങ്ങൾ ഉണ്ടായിരുന്നു ഇപ്പോൾ എല്ലാം ക്ലിയർ ആയി വളരെയധികം നന്ദി 🙏🏻🙏🏻🙏🏻❤️❤️❤️
141,xbYYNpM1AgQ,Thanks for sharing valuable views / information,thanks for sharing valuable views / inform
142,xbYYNpM1AgQ,"Thank you Dr. Ingane aayirikkanam Ella doctorsum 
Aafiyathulla deerghayuss thannu nadhanaya rabb anugrahikkayte aalameen yarabbal aalameen","thank you dr. ingane aayirikkanam ella doctorsum 
aafiyathulla deerghayuss thannu nadhanaya rabb anugrahikkayte aalameen yarabbal aalameen"
143,xbYYNpM1AgQ,Valare vyakthamayi karyangal parannju manasilakki thannu Dr.. Thank you so much. May God Bless You🙌🙌❤❤,valare vyakthamayi karyangal parannju manasilakki thannu dr.. thank you so much. may god bless you🙌🙌❤❤
144,xbYYNpM1AgQ,ശരിക്കും ഭയപ്പെടുത്തുന്ന വാർത്തയായിരുന്നു. Thankyou dr for valuable information.,ശരിക്കും ഭയപ്പെടുത്തുന്ന വാർത്തയായിരുന്നു. thankyou dr for valuable information.
145,xbYYNpM1AgQ,Great message.Thank you for taking this subject which had a big confusion among common people.God bless.,great message.thank you for taking this subject which had a big confusion among common people.god bless.
146,xbYYNpM1AgQ,Very informative message. Well explained thanks doctor. 👌👍🙏🏻,very informative message. well explained thanks doctor. 👌👍🙏🏻
147,xbYYNpM1AgQ,Hi.dear dr ella videos um.very.healthy important very.help ful informations um aanu.dr congratulations thank.you.so.much dr,hi.dear dr ella videos um.very.healthy important very.help ful informations um aanu.dr congratulations thank.you.so.much dr
148,xbYYNpM1AgQ,Thank you so much Doctor for this valuable information.🙏,thank you so much doctor for this valuable information.🙏
149,xbYYNpM1AgQ,Thank you Dr... Imp ഇൻഫർമേഷൻ,thank you dr... imp ഇൻഫർമേഷൻ
150,KBvys-kcJi0,I would like to thank the D.A.R.E. Program for teaching me to resist peer pressure and not experiment with drugs.,i would like to thank the d.a.r.e. program for teaching me to resist peer pressure and not experiment with drugs.
151,KBvys-kcJi0,I like how they ignore literally allllllll of the other evidence in young people. And only relate it to the latest booster. This is strictly damage control,i like how they ignore literally allllllll of the other evidence in young people. and only relate it to the latest booster. this is strictly damage control
152,KBvys-kcJi0,"Some of us have been screaming this for 3 years now....and we were mocked, ridiculed, and silenced on social media. So nice of the MSM to catch up.","some of us have been screaming this for 3 years now....and we were mocked, ridiculed, and silenced on social media. so nice of the msm to catch up."
153,KBvys-kcJi0,Still unvaccinated and healthy as ever thank you Jesus ❤️,still unvaccinated and healthy as ever thank you jesus ❤️
154,KBvys-kcJi0,I don’t know anyone who regrets NOT getting that poison cocktail.,i don’t know anyone who regrets not getting that poison cocktail.
155,KBvys-kcJi0,Pretty sad that everyone waits till the tv box says it’s dangerous.,pretty sad that everyone waits till the tv box says it’s dangerous.
156,KBvys-kcJi0,"Still unvaccinated, and couldn’t be happier. ❤🙏","still unvaccinated, and couldn’t be happier. ❤🙏"
157,KBvys-kcJi0,The truth is slowly trickling out,the truth is slowly trickling out
158,KBvys-kcJi0,One thing about being a so called conspiracy theorist is that I will not have to worry about any of the side effects,one thing about being a so called conspiracy theorist is that i will not have to worry about any of the side effect
159,KBvys-kcJi0,Pure bloods vindicated,pure bloods vind
160,P3nXJB5PoBM,The Pac-Man from the video game is smarter than you at this point,the pac-man from the video game is smarter than you at this point
162,P3nXJB5PoBM,"This guy is confident in ""the studies we have"". What studies? Drug company's studies? The government in Great Britain is starting to examine the excess deaths problem, why aren't we doing that here?","this guy is confident in ""the studies we have"". what studies? drug company's studies? the government in great britain is starting to examine the excess deaths problem, why aren't we doing that here?"
163,P3nXJB5PoBM,My best friends wife will never walk again after she took the experiment.  She was 43 when she got the experiment.,my best friends wife will never walk again after she took the experiment.  she was 43 when she got the experiment.
164,P3nXJB5PoBM,"Anecdotally I personally know 7 people who were hospitalized with pericarditis,myocarditis or embolisms within 2 weeks of vaccination. 3 others “only “ had temporary Bells Palsy within a week of getting the first booster. No one died. I know of 3 deaths from COVID pneumonia and 3 or 4 serious illnesses. The overwhelming majority of the people I know who have had COVID were barely ill. Most were unvaccinated.","anecdotally i personally know 7 people who were hospitalized with pericarditis,myocarditis or embolisms within 2 weeks of vaccination. 3 others “only “ had temporary bells palsy within a week of getting the first booster. no one died. i know of 3 deaths from covid pneumonia and 3 or 4 serious illnesses. the overwhelming majority of the people i know who have had covid were barely ill. most were unvaccinated."
165,P3nXJB5PoBM,Why does David ask for comments if he doesn’t read them?,why does david ask for comments if he doesn’t read them?
166,P3nXJB5PoBM,My friend is dead..35 years old .a roofer..said he got the shot to protect his daughter .died of heart attack...so suck it,my friend is dead..35 years old .a roofer..said he got the shot to protect his daughter .died of heart attack...so suck it
167,P3nXJB5PoBM,"David, your fallacious arguments aren't going to age well. Bret has legitimate arguments that should not be dismissed.","david, your fallacious arguments aren't going to age well. bret has legitimate arguments that should not be dismissed."
168,P3nXJB5PoBM,My university professor died right after his 3rd dose. He said he would take the week off for that and that was the last time we saw him. Also my ex-girlfriend is now battling with Von Willebrand disease and has severe heart issues. She had none of that before getting vaccinated.,my university professor died right after his 3rd dose. he said he would take the week off for that and that was the last time we saw him. also my ex-girlfriend is now battling with von willebrand disease and has severe heart issues. she had none of that before getting vaccinated.
169,P3nXJB5PoBM,My cousin had a heart attack after the jab at 33,my cousin had a heart attack after the jab at 33
170,85ZicYaZsbQ,THANK GOD I DID NOT GET THE VACCINE,thank god i did not get the vaccin
171,85ZicYaZsbQ,"By not taking the jab, I'm 100% safe from side effects and 99% safe from covid.","by not taking the jab, i'm 100% safe from side effects and 99% safe from covid."
172,85ZicYaZsbQ,"The amount of relief I feel that I didn't get vaccinated, even though I was pressured by almost every member of my family, is absolutely indescribable! I feel sorry for those who got it though. Best of luck, they're definitely gonna need it.","the amount of relief i feel that i didn't get vaccinated, even though i was pressured by almost every member of my family, is absolutely indescribable! i feel sorry for those who got it though. best of luck, they're definitely gonna need it."
173,85ZicYaZsbQ,I am unvaccinated and don't have any regrets.,i am unvaccinated and don't have any regrets.
174,85ZicYaZsbQ,Nazarin is a smart girl who has learned to think for herself 👏,nazarin is a smart girl who has learned to think for herself 👏
175,85ZicYaZsbQ,"Good girl, Nazarin. Standing up for what’s right in the face of defamation & misrepresentation ❤❤❤","good girl, nazarin. standing up for what’s right in the face of defamation & misrepresentation ❤❤❤"
176,85ZicYaZsbQ,"This is gaslighting. Trying to tell her that her friend’s injury was random and there was no causal relationship to the kool-aide, gaslighting.","this is gaslighting. trying to tell her that her friend’s injury was random and there was no causal relationship to the kool-aide, gaslighting."
179,85ZicYaZsbQ,"Nazarin, thank you! I lost my Mom and Dad both, within 8 months after they both took the shots. Both were pretty healthy before and my Dads heart stopped, and my poor Mother, suddenly got Cancer, everywhere! The lady blames it on our ""emotions "".. Its just like you said, we KNOW what happened.. Were not stupid. I miss my Mom so much, and i wish i could have been there to stop them from taking those shots!","nazarin, thank you! i lost my mom and dad both, within 8 months after they both took the shots. both were pretty healthy before and my dads heart stopped, and my poor mother, suddenly got cancer, everywhere! the lady blames it on our ""emotions "".. its just like you said, we know what happened.. were not stupid. i miss my mom so much, and i wish i could have been there to stop them from taking those shots!"
180,SkcAZfrYYXM,"Nothing to worry about, they've changed how they count excess deaths.","nothing to worry about, they've changed how they count excess deaths."
