,video_id,comment,spam
173,c1oU8U05puY,Alvin's patience Usec impressive answers straight strident,1
177,c1oU8U05puY,Can get cough attack antibiotics,1
178,SEHcakm-fAc,I would like use parts news video presentation.. Thank you! God bless.,1
179,SEHcakm-fAc,Levels lockdown/quarantine Philippines based strict is: 6. EECQ - extreme/extensive enhanced community quarantine 5. ECQ - enhanced community quarantine a. LECQ - localized enhanced community quarantine - done small areas city. 4. MECQ- modified enhanced community quarantine 3. GCQ - general community quarantine 2. MGCQ - modified general community quarantine 1. New Normal,1
183,SEHcakm-fAc,"ADVICE: If covid hard time breathing. Do ""Belly Breathing"" - efficient way breathe (you search online). This exactly I I slowly losing air breathe. I hard time inhaling nose I used mouth. Your belly come outward take air. As exhale, stomach come back in. If hard breathe nose use mouth. If makes mouth dry try glass water maybe little bucket beside rinse mouth time time. If hard breathe lay sit. You need practice body gets use it. Put hand stomach monitor breathing. ( I tried one hold breath couple times cough last try work me. It made even hard breathe.)",1
184,SEHcakm-fAc,"Success dependent action steps take achieve it. Show man investment I tell soon he'll go broke. Investment building safe future: right choice investment least 1% minimum risk Expert guidance, profit interest 💯 guaranteed.",1
186,SEHcakm-fAc,"While Manila ECQ, political leaders debating whether rice porridge essential 🤣🤣🤣🤣😂😂😂😂",1
187,SEHcakm-fAc,Wow...thank u sa updatep,1
189,1psSvU1km0I,Family planning one main key prevent poverty.,1
190,1psSvU1km0I,The irony poverty one lacks family planning. You’ll notice one huge family members.,1
201,PP3Yu-ro1tA,"LAHAT BA TLGA YAN NATEST AND POSITIVE?OR IN CLASSIFY LNG NILA AS POSITIVE UNG IBA DAHIL NAGPAKITA NG SYMPTOMS?DON'T PUT TOO MUCH EXAGGERATION ON NEWS,PAG NAGPANIC UNG MGA TAO BUBUWELTAHAN NYO NG WAG MAGPANIC,JUSKO.KAYO DIN PUNOT DULO NG PAGKALITO AT PANIC NG MGA TAO.KAYA WALA NA NANINIWALA SA NEWS E.NAWAWALAN N NG CREDIBILITY ANG MEDIA KAGAGAWAN NYO DIN.MAS MAIGI PA NGA NA UNG BALITA DIRECT NA MISMO SA GOBYERNO E PRA WALA NG PALIGUY-LIGUY AT WALA NG DAGDAG BAWAS TO EXAGGERATE THE NEWS.",1
202,PP3Yu-ro1tA,Covid business booming Philippines 😂🤑💲🤑💲,1
203,PP3Yu-ro1tA,"If scary, nobody dying omicron?",1
205,PP3Yu-ro1tA,Many cases Metro Manila vaccinated 90% fully vaccinated. When 52% positivity rate mean covids barking. So ones make virus prevalent Metro Manila Bakunado. Cla released carrier.,1
208,NQeI1CRCqeo,"Thank WHO letting known reopened circus! But thank giving name, still missing, classic usual 'seasonal flu'!",1
209,NQeI1CRCqeo,"Money, Money pockets. STOP BELIEVING THE LIES. DO NOT CONSENT. DO NOT COMPLY. DO NOT BELEIVE THEIR LIES",1
211,NQeI1CRCqeo,Variant like flavor only.😂🤣,1
213,NQeI1CRCqeo,Business BACK !!!!,1
214,NQeI1CRCqeo,"Hahaha new business coming country, let's get ready wear facemask new business 😅",1
216,NQeI1CRCqeo,LUCRATIVE BUSINESS IS STARTING.,1
217,NQeI1CRCqeo,stab,1
218,RhDHGgo4yZg,"Watching makes grateful I thought duty help. For past six months, I sending money family seven. I rich man I thought I must something help. So I sending $125 pcm. I know enough vegetables rice see through. It save starvation.",1
223,RhDHGgo4yZg,"This heartbreaking, I want help I know I can't",1
224,RhDHGgo4yZg,God bless family,1
225,RhDHGgo4yZg,"This heartbreaking, know government constraints I still good faith humanity, Filipnos, I hope us blessed able adopt family esp like mother strong determination provide family due pandemic unable to. I hope know someone like within reach, community, may make difference, change lives fate, please share thy blessings, small amount could make good meal.=)",1
227,RhDHGgo4yZg,"Hi CNA Insider, know legitimate links donate Philippines food crisis?",1
228,sdsz-t540WI,The people The Philippines smart strong. They endure work incredibly hard. Much love. Make use online fundraising campaign sights. People donate. 💯💗,1
230,sdsz-t540WI,Hello classmates watching documentary veiwing. still alive guys?,1
231,sdsz-t540WI,"If take paychecks government officials President Barangay level, I bet people first one protest lockdown.",1
234,sdsz-t540WI,"I thank God, daughter still job. We much worry. We never rent house pay water bill, electric bill.",1
235,sdsz-t540WI,Bamboo go due module,1
240,7SKGXkZKjV8,"Sadly, I recently found student I sponsoring could answer simple math problems starting face face classes grade 6. But saw passed grade 5 high grades. I told tell truth, told me, using math apps tablets answer math problems. They never solved problems own. This sad, now, math level like level grade 2 student. It unfortunate way place check system wherein teacher find finding answers elsewhere. Hence, takes long time answer question.",1
242,7SKGXkZKjV8,"If declare mouth, “Jesus Lord,” believe heart God raised dead, saved. For heart believe justified, mouth profess faith saved.Romans 10. 9-10 Christ sacrificed take away sins many; appear second time, bear sin, bring salvation waiting him.Hebrews 9. 28",1
244,7SKGXkZKjV8,We slay 😍😍😍,1
249,oy0wHScCPds,"TO ALL CHINESE IN THE WORLD OVER, I AM HOPING FOR ALL OF YOU TO READ THIS: “O Lord, hear plea justice. Listen cry help. Pay attention prayer, comes honest lips. Declare innocent, see right. You tested thoughts examined heart night. You scrutinized found nothing wrong. I determined sin I say. I followed commands, keep following cruel evil people. My steps stayed path; I wavered following you. I praying I know answer, O God. Bend listen I pray. Show unfailing love wonderful ways. By mighty power rescue seek refuge enemies. Guard would guard eyes. Hide shadow wings. Protect wicked people attack me, murderous enemies surround me. They without pity. Listen boasting! They track surround me, watching chance throw ground. They like hungry lions, eager tear apart— like young lions hiding ambush. Arise, O Lord! Stand them, bring knees! Rescue wicked sword! By power hand, O Lord, destroy look world reward. But satisfy hunger treasured ones. May children plenty, leaving inheritance descendants. Because I righteous, I see you. When I awake, I see face face satisfied.” (Psalms‬ ‭17:1-15‬) 🙏🌹📖🌷✝️❤️🌼🇵🇭 I faith Lord bring justice fight good faith.",1
251,oy0wHScCPds,Acts 4:12 There name heaven given mankind must saved. JESUS great HEALER SAVIOR.... Amen.,1
252,oy0wHScCPds,Me New Years Eve: I’ll lose pounds! Me weeks later: stay alive 2020...💀,1
254,oy0wHScCPds,NOW ITS ON MY CITY !!!,1
255,oy0wHScCPds,Ung da san lazaro hosp bto?,1
263,o1kPskxFkQ8,"There lot things ad here. In last 5 months 2000 deaths (an average 400 per month), yet DOH figures show normal year, Covid, approximately 47,000 deaths per month causes, system cannot cope 1% rise deaths. Is incompetence, poor management plain panic, countries?",1
265,o1kPskxFkQ8,Hi reached neutral comment! Here's snack debate section! 🍟💥,1
267,o1kPskxFkQ8,Self-discipline lng guys😉,1
269,aoNQUUQno00,"Just like covid Canada, news meant spitted ground. 😅",1
271,aoNQUUQno00,follow money...,1
272,aoNQUUQno00,In Senate want face Senator Raffy,1
273,aoNQUUQno00,Unreal,1
276,aoNQUUQno00,Good day SSS officials hopefully increase pension seniors poor especially small pension 2200 month,1
278,liEUC1_l8e8,"“It's better to﻿ die free, live slave”",1
279,liEUC1_l8e8,This going hilarious jails full.. can't jail everyone.,1
287,liEUC1_l8e8,"Rise Filipinos, take back freedoms tyrant.",1
289,-b0EuuMvvy8,Return module online class prevent spreading,1
290,-b0EuuMvvy8,Does anyone know reporter thanks 😌,1
291,-b0EuuMvvy8,My God!!! Please stop covid issue,1
292,-b0EuuMvvy8,Please usec .. give n benifits private hospitals .. Oca sra hea .. til still nothing,1
293,-b0EuuMvvy8,Asan na oca sra,1
295,-b0EuuMvvy8,Not yet covid,1
298,MmyIvf7bEGc,Godbless Philippines 🇵🇭🇵🇭🙏,1
299,MmyIvf7bEGc,How find whats name reporter? I need know school thesis,1
301,MmyIvf7bEGc,Lockdown na,1
302,MmyIvf7bEGc,Help ha ha ha,1
305,MmyIvf7bEGc,Duque better among rest prang wla choices president hopefully develop,1
311,Fd3HcncV6Zk,My Prayers For The Philippines,1
312,Fd3HcncV6Zk,Trust God Only.,1
314,Fd3HcncV6Zk,capital region strugling whole nation,1
316,Fd3HcncV6Zk,"I disagree, Doc. Vaccination ONE way stop pandemic. Don't forget practice social distancing, proper hygiene contact tracing.",1
320,-n9Ks3VTub4,Give homelesspeople shelter,1
323,LzymJ2xZhho,This Could Be A Lesson For Those Our Fellow Filipinos Who Didn't Mind To Save Money Disregards Emergency Measures And Spent To The Last Centavo For Unworthy Things.,1
325,LzymJ2xZhho,This shows protect people Life important 💰 money .... You always money one life earth.,1
326,LzymJ2xZhho,Bamboo students studying PHS. I salute you.,1
329,LzymJ2xZhho,Anyone PHS? Science Module T-T,1
330,LzymJ2xZhho,"My advise humanity please observe self discipline first complaining government authorities front liners job protect us pandemic situation, Let's us thank pray new life pandemic.",1
333,-qFcO_onBdA,I wish lockdown AZ,1
334,-qFcO_onBdA,So possible imported case Singapore.... make it...,1
342,fp9uRsmTWqg,"The unemployment rate much higher consider low income people always ignored. Anyone friends, family associates Philippines knows truth.",1
344,fp9uRsmTWqg,In September unemployment rate really high 20k plus new cases day new cases 2k 1k I think unemployment rate low lower restrictions October November.,1
355,3ZXR2eARmuQ,"""Money earned lost life can't returned""",1
357,3ZXR2eARmuQ,"The government great closing business, life matters money.",1
360,3ZXR2eARmuQ,Better act later regret uncontrollable 😉,1
361,3ZXR2eARmuQ,"We wish Philippines, kind media.",1
362,57wz3HuIVLA,I'm india staying phillipines past 4 years I really appreciate aspects president much others protect people 🙏🙏🙌🙌,1
363,57wz3HuIVLA,Stay strong Philippines. We feel pain India. We pray you.,1
373,lbK7UjoLr8o,Typical want money,1
381,xV1oR-RbOGU,My girlfriend I pray everyone,1
383,xV1oR-RbOGU,"They admitted since used test subjects, hope get free.",1
384,kn6DKdInYXk,Module brought Like You Also!!!,1
385,kn6DKdInYXk,"Im favor extending another month community quarantine.Whatever President decision follow,abide obedient.Let us hope pray pandemic end soon.",1
387,kn6DKdInYXk,Module also brought I ask source information video?,1
395,2T3yZ6lNRDg,God bless us,1
397,2T3yZ6lNRDg,Thank UAE.,1
398,2T3yZ6lNRDg,vaccine donations = free test subjects,1
405,HLYSlKY6Ww4,thanks everything done cheers frontliners fighting huge battle,1
407,HLYSlKY6Ww4,THANK YOU FOR ALL THE FRONTLINERS !!! I LOVE YOU ALL !!! GODBLESS,1
408,HLYSlKY6Ww4,Thank sa mga frontliners helping protecting us. Please take care there.,1
409,HLYSlKY6Ww4,Hi guys thank Po frontliner nurse salamat Po,1
411,HLYSlKY6Ww4,everyone reading hope safe pandemic protect dont go outside help frontliners STAY STRONG,1
413,HLYSlKY6Ww4,My salute Frontline workers. You're Heroes.!,1
414,kn6DKdInYXk,Module brought Like You Also!!!,1
415,kn6DKdInYXk,"Im favor extending another month community quarantine.Whatever President decision follow,abide obedient.Let us hope pray pandemic end soon.",1
417,kn6DKdInYXk,Module also brought I ask source information video?,1
425,sH_YoV-NA6s,Please everyone safe. Philippines 🇵🇭 x Brasil 🇧🇷 Philippines always ❤️,1
426,sH_YoV-NA6s,I really appreciate educators extra work indigenous kids Angeles Pampanga. They innovate educational system cope new normal system Philippines risky teachers also students go outside COVID-19. I know adjusting kind thing bringing teachers learners unsafe point. Government provide plans considering safety many people. LIFE important education. READ IT AGAIN!,1
427,sH_YoV-NA6s,Mabuhay teachers extra work indigenous kids outta there!! .. I pray safety kids teachers 🙏😇 Salute Cebu! 🇵🇭,1
430,sH_YoV-NA6s,Mahal Kita Philippines India,1
431,sH_YoV-NA6s,WION really great channel ❤️,1
432,sH_YoV-NA6s,The government’s Department Education (DepEd) also Television channel dedicated remote learning called DepEdTV situation.,1
434,ZLT6L3PHz78,"*Claim fact:* The Philippines reported 3,561 new COVID-19 cases Thursday, August 6, inching total tally closer 120,000 causing country overtake Indonesia Southeast Asian nation number infections. *Claim Policy:* Prevailing quarantine restrictions implemented 'strictly effectively'. *Claim Value:* The death toll also increased, government reporting 28 new fatalities Thursday. Or Pooled testing initiative using reverse-transciption polymerase chain reaction RT-PCR test coronavirus August 5. *Evidence:* • The country’s total coronavirus cases 119,460. On day, Indonesia reported 1,882 new cases, bringing total 118,753, according Jakarta Post. [the others google] • Metro Manila source Philippines’ new cases, reporting 2,041 Thursday. •Over 42% 50,473 country’s total cases still active cases.",1
435,ZLT6L3PHz78,"""I here"" - Not grade 10 classmate",1
436,ZLT6L3PHz78,module😭😭😭😭😭HAHAHAHAHAHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHAH,1
438,ZLT6L3PHz78,answer help hahahahahaha,1
439,ZLT6L3PHz78,Module😌,1
441,2T3yZ6lNRDg,God bless us,1
443,2T3yZ6lNRDg,Thank UAE.,1
444,2T3yZ6lNRDg,vaccine donations = free test subjects,1
451,HLYSlKY6Ww4,thanks everything done cheers frontliners fighting huge battle,1
453,HLYSlKY6Ww4,THANK YOU FOR ALL THE FRONTLINERS !!! I LOVE YOU ALL !!! GODBLESS,1
454,HLYSlKY6Ww4,Thank sa mga frontliners helping protecting us. Please take care there.,1
455,HLYSlKY6Ww4,Hi guys thank Po frontliner nurse salamat Po,1
457,HLYSlKY6Ww4,everyone reading hope safe pandemic protect dont go outside help frontliners STAY STRONG,1
459,HLYSlKY6Ww4,My salute Frontline workers. You're Heroes.!,1
460,lczwrm68u6I,Thanks watching everyone. Tell us think comments below.,1
463,lczwrm68u6I,Stay strong Philippines. Support Tunisia,1
464,lczwrm68u6I,Stay stronger beloved Filipino brothers sisters. We Indonesia people always stand you. God bless all. ❤️❤️❤️,1
477,zhBdbLj5y6A,India joined Group Philippines joined Group The recruitment still ongoing.,1
478,zhBdbLj5y6A,GUYS WE SHOULD BE CREATIVE ON HOW TO PROTECT OUR SELVES.. LIKE INSTEAD OF USING MASK USE MORE MANMADE CREATED BY YOU.. BUT BE SURE IT SAFE ENOUGH AND CLEAN,1
482,ibWFsmcnefk,The Philippines central bank always safe way set takes measures,1
484,ibWFsmcnefk,Honesty Philippines,1
491,e0fN7HxkIUc,Thank sharing 😷,1
492,e0fN7HxkIUc,"Social distancing isn’t implemented well, won’t good.",1
493,e0fN7HxkIUc,Hopefully horrible noisy polluting jeepneys replaced better transport vehicles soon.,1
499,e0fN7HxkIUc,Always annoyed reporter GOD cna please replace ate!,1
509,Ji47WRv2tQE,The educated way deal dead bodies.,1
510,dj5ov38ihZI,Worrisome,1
512,dj5ov38ihZI,Omaigot ... 😰,1
514,j3E3NF9nk44,Stay safe friends Philippines! Miss country people hope visit can. Warm hugs South Korea.,1
516,j3E3NF9nk44,If look outside kasi parang walang pandemic. Theres hardly social distancing.,1
518,j3E3NF9nk44,We already ahead new variant You slowed officials especially DOH recycled official ... appointed repayment debt ... inside ... thick muks.,1
520,j3E3NF9nk44,Sure!,1
531,BomdsEJjb0E,44 age considered WEAK.,1
533,BomdsEJjb0E,You aint seen nothing yet.,1
538,T7c6GvrF82k,Hi I use part presentation? thank,1
539,T7c6GvrF82k,"Just heartbreaking watch... Lord please help people... I Truly pray best, everyone going thru this.. Just sad rest world sit back anything this.",1
540,T7c6GvrF82k,I'm shocked.,1
542,T7c6GvrF82k,That really hard see ;((((,1
544,6DBFwIlT4fg,Virus spreads country: Country: How? Airports: We idea. The birds must spread it.,1
547,6DBFwIlT4fg,Reporter : “People prefer staying home” Random kid hover board : ZOOM! 1:00,1
549,6DBFwIlT4fg,World: Don't travel China. China: *_We'll Travel you._*,1
550,6DBFwIlT4fg,My new goal 2020: Stay Alive !,1
551,6DBFwIlT4fg,"Boy, decade great start ain’t it?",1
552,6DBFwIlT4fg,Goals 2020: 1. Don’t get drafted 2. Don’t get infected,1
557,2FgFNBIJTIA,Just subscribed.. I American Foreigner Philippines Vlogger giving back Filipinos need. Mabuhay! 🙏❤🇵🇭,1
565,254GdlKEz5I,"But Taiwanese singled out, Double standard???",1
566,254GdlKEz5I,This 1930' 1940's Papers please BS.,1
568,y4qaoHc2ezk,God help us country 🙏🙏🙏,1
569,y4qaoHc2ezk,Road 1 milion na tau guysss...,1
570,y4qaoHc2ezk,Poor Quezon City top cases COVID-19. Thanks GMA updates news,1
571,y4qaoHc2ezk,I'm like number. I check up. Hahaha,1
572,y4qaoHc2ezk,Hope 2 weeks ECQ right .. We already debt. We know pay .. We want get pay debt .. electricity water ...,1
573,y4qaoHc2ezk,Msta Luzon okay?,1
576,y4qaoHc2ezk,Road Gold Play Button Tayoooov,1
578,2VRGUm_wQ0w,"""I hope rich people adopt you"" nice. My parents like ""I hope exist!"" 😂",1
579,2VRGUm_wQ0w,Stop children...Have shame. Putting kids tv crying eating day smh,1
580,2VRGUm_wQ0w,Excellent work round.,1
586,2VRGUm_wQ0w,I can't wait 10 kids I can't feed,1
587,HK5rfm4X2G0,Lots prayers everyone facing critical situation 🙏,1
588,HK5rfm4X2G0,"To All The Front Liner Around The World Thank You contributions may God Bless You & Your Families ""The Angles""🙏🙏",1
589,HK5rfm4X2G0,"Overworking leads stress. Stress depresses immune system. A weakened immune system vulnerable array germs including Wuhanvirus. Any surprises, Dr Watson?",1
590,HK5rfm4X2G0,The salary health workers really increase.,1
591,HK5rfm4X2G0,"Iron grinded iron, man perfected contact neighbor.",1
592,HK5rfm4X2G0,"I questons anyone knows....First, Are registered nurses recently passed license exam required pay Covid vaccines??? If much cost?",1
593,HK5rfm4X2G0,Man look WIPED OUT !,1
594,HK5rfm4X2G0,LEFT WING!,1
596,HK5rfm4X2G0,Ganbatte 🙏,1
597,_DM5L8uu1Do,Lord help us 🙇🙏,1
601,_DM5L8uu1Do,"Hopefully number recovers continue recover Covid-19, hopefully positive come down. Let's go house. Everyone grow pain increase.",1
602,_DM5L8uu1Do,Condolence po dead,1
604,_DM5L8uu1Do,"In time like Filipino bless, gov one frontliners esp doctors nurses, little death compared countries..Thanks frontliners, fellow fellow Filipinos lets stay home save life pra family frontliners ..",1
606,_DM5L8uu1Do,Hope spread slowdown.,1
607,pK6y1h0YgSU,Thank featuring,1
609,pK6y1h0YgSU,These people less still willing share....and side people want more....,1
612,pK6y1h0YgSU,These nice wholesome news difficult time,1
616,pK6y1h0YgSU,"I mny Philip friends. Philip guys helpful mind,and friendly,they strong minded,strong hearts,, long live Filipino.",1
621,a3-AiHSyTIU,"vaccine card business , I wont buy products I wont shop stores, see lasts longer lol",1
622,a3-AiHSyTIU,"No vaccine, swab testing, amd quarantine. So get vaccine! To avail swab testing, checking stomach hurts. In background, fully vaconated enjoy quarantine facility. 😂😁😀 It's vaccine money, still hard people.",1
623,a3-AiHSyTIU,"Revelation 13:17 ""so NO ONE could BUY SELL unless MARK— name beast number name."" This ""snake bite/ Vac"" mark beast we're experiencing right precursor Revelation 13:17. We struggle flesh blood, rulers, authorities, powers world’s darkness, spiritual forces evil heavenly realms. But fear not, Jesus Christ overcome world. Only grace God Christ Lord win battle. Trust Him cost. He's coming soon rule reign! Hallelujah.",1
626,a3-AiHSyTIU,NAMAN NYO KAKALUMAN! Really! Do trust news?,1
627,SLrKdYsNbSo,"*Not skip ads help you. We small yt poor, rent. My wife small salary. We want inspired poor. Even though life difficult happy continue dream God's dream impossible. Because inspired bloggers. God bless us give challenge life 💕*",1
628,SLrKdYsNbSo,"NCR, contest. Not number cases. Cases going ... small country care cases countries. Your region may reached cases entire country. Stay safe follow health protocols. Wear face mask always, hand wash social distance. Stay home much possible. That's difficult. So that's it. Top 10 Earth New Cases.",1
631,SLrKdYsNbSo,⚠ ☣ C H I N A V I R U S ☣ ⚠,1
641,8w61tigk0ag,"We hate them, cautious knowing health system (although medical professionals experts commendable) expensive lacks facilities handle cases.",1
642,8w61tigk0ag,"You also report mainland immigrants posting ""Chinese only"" signs Philippines Chinese national threw soybean curd police?",1
643,Mwpqgw9gMfo,thank po uploading worth contents!,1
647,FJEMcVK0MWI,"The way Erwan narrative sets apart rest YouTube. As always, A++ effort ❤️",1
648,FJEMcVK0MWI,It's good see influencer utilizing platform right way. Thank trying educate audience🥰❤,1
650,FJEMcVK0MWI,"Erwan, I knew nominate video award would choice. The amount work put video shows much care people Philippines. And rightfully so; wonderful people. Best luck you, family, friends people Philippines.",1
651,FJEMcVK0MWI,I’m glad lot influencers put lot effort make videos like one inform individuals help one another stop crisis. ❤️❤️❤️,1
652,FJEMcVK0MWI,Erwan smart. Erwan one real influencer. Thank Erwan video! Keep safe family 👪,1
653,FJEMcVK0MWI,"This video created informative. As subscriber, I admired time effort producing video. This alone great help already watched. To subscribers would subscriber, please like share video spread awareness. Kudos brother Erwan, Mabuhay ka!",1
654,FJEMcVK0MWI,"It's nice find English Philippine news. Please more. I subscribed. I live rural Philippines speaking Filipino, I rarely know what's going pry information neighbors. We lockdown week anyone told me.",1
656,gRKL_FUQUpY,Are RTPCR antigen test kits sell .... good business ...,1
658,gRKL_FUQUpY,magic money,1
659,gRKL_FUQUpY,"So ... another reason #FearMonger #PanicMonger. It's called flu season. Those ask prescription colds, coughs, throat pain, mandatory testing take nose down. If given prescription, would cured extra drama days.",1
661,LLFcBFAuauk,"I Malaysian based Philippines, heartbreaking see tita crying current crisis. Laban 2nd home, Pilipinas!",1
663,LLFcBFAuauk,thumbnail: pakistan title: Philippines channel: china hotel: trivago,1
